Emission ID,Time (UTC),Flow (SLPM)
MR-01,2026-03-11T00:00:00Z,0.0
MR-01,2026-03-11T01:00:00Z,50.0
MR-01,2026-03-11T02:00:00Z,100.0
MR-01,2026-03-11T03:00:00Z,200.0
MR-01,2026-03-11T04:00:00Z,200.0
MR-01,2026-03-11T05:00:00Z,350.0
MR-01,2026-03-11T06:00:00Z,350.0
MR-01,2026-03-11T07:00:00Z,500.0
MR-01,2026-03-11T08:00:00Z,500.0
MR-01,2026-03-11T09:00:00Z,750.0
MR-01,2026-03-11T10:00:00Z,750.0
MR-01,2026-03-11T11:00:00Z,1000.0
MR-01,2026-03-11T12:00:00Z,1000.0
MR-01,2026-03-11T13:00:00Z,750.0
MR-01,2026-03-11T14:00:00Z,500.0
MR-01,2026-03-11T15:00:00Z,500.0
MR-01,2026-03-11T16:00:00Z,350.0
MR-01,2026-03-11T17:00:00Z,350.0
MR-01,2026-03-11T18:00:00Z,200.0
MR-01,2026-03-11T19:00:00Z,200.0
MR-01,2026-03-11T20:00:00Z,100.0
MR-01,2026-03-11T21:00:00Z,100.0
MR-01,2026-03-11T22:00:00Z,50.0
MR-01,2026-03-11T23:00:00Z,0.0
MR-04,2026-03-11T00:00:00Z,0.0
MR-04,2026-03-11T01:30:00Z,25.0
MR-04,2026-03-11T03:00:00Z,50.0
MR-04,2026-03-11T04:30:00Z,75.0
MR-04,2026-03-11T06:00:00Z,100.0
MR-04,2026-03-11T07:30:00Z,150.0
MR-04,2026-03-11T09:00:00Z,200.0
MR-04,2026-03-11T10:30:00Z,250.0
MR-04,2026-03-11T12:00:00Z,250.0
MR-04,2026-03-11T13:30:00Z,200.0
MR-04,2026-03-11T15:00:00Z,150.0
MR-04,2026-03-11T16:30:00Z,100.0
MR-04,2026-03-11T18:00:00Z,75.0
MR-04,2026-03-11T19:30:00Z,50.0
MR-04,2026-03-11T21:00:00Z,25.0
MR-04,2026-03-11T22:30:00Z,0.0
